ID,CrimeCode,Description,Weapon,Incidents
186482,4A,O,FIREARM,1
186485,9S,O,FIREARM,1
186506,4E,I,HANDS,1
186511,3AF,O,FIREARM,1
186512,4E,I,HANDS,1
186513,4E,O,HANDS,1
186517,4E,I,HANDS,1
186522,4E,O,HANDS,1
186523,4E,I,HANDS,1
186525,4B,I,KNIFE,1
186526,4E,I,HANDS,1
186527,4E,O,HANDS,1
186529,4A,O,FIREARM,1
186531,4E,I,HANDS,1
186535,4E,O,HANDS,1
186536,9S,O,FIREARM,1
186538,2A,I,OTHER,1
186543,2A,I,OTHER,1
186561,4C,O,OTHER,1
186562,4C,O,OTHER,1
186574,4E,I,HANDS,1
186581,4D,O,HANDS,1
186589,3AF,I,FIREARM,1
186598,3AK,O,KNIFE,1
186600,4E,I,HANDS,1
186601,4B,I,KNIFE,1
186606,4E,I,HANDS,1
186608,4C,O,OTHER,1
186610,4E,O,HANDS,1
186611,4E,O,HANDS,1
186621,3AO,O,OTHER,1
186623,3AO,O,OTHER,1
186629,4E,O,HANDS,1
186630,4E,I,HANDS,1
186634,4E,I,HANDS,1
186640,4E,I,HANDS,1
186641,4C,I,OTHER,1
186643,3AF,O,FIREARM,1
186649,4E,I,HANDS,1
186651,4E,I,HANDS,1
186654,3JF,I,FIREARM,1
186655,3JF,I,FIREARM,1
186656,3JF,I,FIREARM,1
186657,4C,O,OTHER,1
186661,4C,O,OTHER,1
186664,3AF,O,FIREARM,1
186665,4E,I,HANDS,1
186666,3AF,O,FIREARM,1
186667,4E,O,HANDS,1
186671,4A,I,FIREARM,1
186672,9S,I,FIREARM,1
186674,3AF,O,FIREARM,1
186676,4E,O,HANDS,1
186678,4E,O,HANDS,1
186679,4E,O,HANDS,1
186680,4E,O,HANDS,1
186686,4E,O,HANDS,1
186690,4E,I,HANDS,1
186694,4E,O,HANDS,1
186696,4E,I,HANDS,1
