ID,CrimeCode,Description,Weapon,Incidents
190722,4C,O,OTHER,1
190728,4A,O,FIREARM,1
190729,2A,I,OTHER,1
190732,9S,O,FIREARM,1
190738,4C,O,OTHER,1
190742,4B,I,KNIFE,1
190743,4B,I,KNIFE,1
190750,4B,O,KNIFE,1
190752,4E,I,HANDS,1
190753,4E,I,HANDS,1
190754,4B,I,KNIFE,1
190755,3AF,O,FIREARM,1
190756,3AF,O,FIREARM,1
190757,3AF,O,FIREARM,1
190761,4C,O,OTHER,1
190765,4E,I,HANDS,1
190767,4C,O,OTHER,1
190772,2A,I,OTHER,1
190773,4E,I,HANDS,1
190780,4B,I,KNIFE,1
190785,3AO,O,OTHER,1
190788,4E,O,HANDS,1
190790,4E,I,HANDS,1
190792,3AF,O,FIREARM,1
190798,4B,I,KNIFE,1
190799,4B,I,KNIFE,1
190800,2A,I,OTHER,1
190801,4E,I,HANDS,1
190805,4E,I,HANDS,1
190807,3AF,O,FIREARM,1
190808,4E,I,HANDS,1
190809,3AO,O,OTHER,1
190810,4E,O,HANDS,1
190811,4E,I,HANDS,1
190815,3AF,O,FIREARM,1
190816,4C,I,OTHER,1
190818,4E,I,HANDS,1
190819,4E,I,HANDS,1
190821,4E,I,HANDS,1
190822,4E,O,HANDS,1
190823,2A,I,OTHER,1
190827,4E,I,HANDS,1
190828,4C,I,OTHER,1
190829,4E,O,HANDS,1
190830,4A,I,FIREARM,1
190832,3GF,I,FIREARM,1
190835,4C,I,OTHER,1
190847,4B,O,KNIFE,1
190851,4E,O,HANDS,1
190858,4B,O,KNIFE,1
190863,4E,O,HANDS,1
190881,4E,I,HANDS,1
190884,4E,O,HANDS,1
190885,4A,O,FIREARM,1
190886,4A,O,FIREARM,1
190888,4B,O,KNIFE,1
190889,4C,I,OTHER,1
190895,4E,O,HANDS,1
190899,4C,O,OTHER,1
190900,4B,I,KNIFE,1
190905,4E,O,HANDS,1
190909,4E,I,HANDS,1
190910,4E,O,HANDS,1
190911,4E,O,HANDS,1
190912,2A,I,OTHER,1
190915,4B,I,KNIFE,1
190916,4B,I,KNIFE,1
190923,3AK,O,KNIFE,1
190924,4E,I,HANDS,1
190925,4E,O,HANDS,1
190927,3AF,O,FIREARM,1
190930,3AF,O,FIREARM,1
190931,3AF,O,FIREARM,1
190933,4B,O,KNIFE,1
190934,1F,I,FIREARM,1
190935,4B,I,KNIFE,1
190937,4E,O,HANDS,1
190938,3GF,I,FIREARM,1
190939,3AF,O,FIREARM,1
190940,3AF,O,FIREARM,1
190941,3AJF,O,FIREARM,1
190945,4E,O,HANDS,1
190957,4B,O,KNIFE,1
190959,4E,I,HANDS,1
190960,3AK,O,KNIFE,1
190961,3AK,O,KNIFE,1
190964,4B,I,KNIFE,1
190965,3JF,I,FIREARM,1
190966,3JF,I,FIREARM,1
190967,4A,I,FIREARM,1
190969,4E,O,HANDS,1
190972,4E,I,HANDS,1
190973,4E,I,HANDS,1
190975,4E,I,HANDS,1
190977,4E,O,HANDS,1
190984,4E,O,HANDS,1
190986,4E,O,HANDS,1
190987,4E,O,HANDS,1
190991,4B,I,KNIFE,1
190998,4E,I,HANDS,1
191007,3AK,O,KNIFE,1
191009,4C,I,OTHER,1
191012,4E,I,HANDS,1
191013,4E,I,HANDS,1
191018,4E,O,HANDS,1
191019,4E,O,HANDS,1
191020,4E,I,HANDS,1
191023,4C,I,OTHER,1
191024,4E,O,HANDS,1
191029,4C,I,OTHER,1
191030,4D,O,HANDS,1
191031,2A,O,OTHER,1
191038,4E,I,HANDS,1
191040,4E,I,HANDS,1
191049,4E,O,HANDS,1
191051,3AF,O,FIREARM,1
191055,4E,I,HANDS,1
191061,4E,I,HANDS,1
191067,4E,I,HANDS,1
191075,4E,I,HANDS,1
191078,4D,I,HANDS,1
191080,4E,I,HANDS,1
191081,4C,I,OTHER,1
191082,4C,I,OTHER,1
191083,4C,,OTHER,1
191084,4C,I,OTHER,1
191086,3NK,I,KNIFE,1
191087,3NK,I,KNIFE,1
191090,4C,,OTHER,1
191091,4A,O,FIREARM,1
191093,4D,O,HANDS,1
191106,4E,O,HANDS,1
191107,3JK,I,KNIFE,1
191108,4E,I,HANDS,1
191109,4E,I,HANDS,1
191110,4E,I,HANDS,1
191111,4E,O,HANDS,1
191112,4D,O,HANDS,1
191113,4E,I,HANDS,1
191115,3AF,O,FIREARM,1
191116,4B,O,KNIFE,1
191117,4B,O,KNIFE,1
191118,3AF,O,FIREARM,1
191120,4A,I,FIREARM,1
191121,3JF,I,FIREARM,1
191122,3JF,I,FIREARM,1
191123,4C,O,OTHER,1
191127,4E,I,HANDS,1
191131,4E,I,HANDS,1
191143,4B,O,KNIFE,1
191145,4E,O,HANDS,1
191146,4E,I,HANDS,1
191147,3AK,O,KNIFE,1
191150,4C,I,OTHER,1
191152,4E,I,HANDS,1
191155,4B,I,KNIFE,1
191158,4E,,HANDS,1
191162,4E,O,HANDS,1
191163,4E,I,HANDS,1
191166,4E,I,HANDS,1
191168,4C,O,OTHER,1
191169,4C,O,OTHER,1
191176,4D,O,HANDS,1
191181,3AO,O,OTHER,1
191183,9S,O,FIREARM,1
191184,9S,O,FIREARM,1
191186,4E,O,HANDS,1
191189,4C,,OTHER,1
191190,4E,O,HANDS,1
191193,4E,I,HANDS,1
191194,4E,I,HANDS,1
191195,4E,I,HANDS,1
191200,4E,I,HANDS,1
191201,4E,O,HANDS,1
191202,4E,O,HANDS,1
191203,3AO,O,OTHER,1
191204,4E,I,HANDS,1
191205,1F,O,FIREARM,1
191209,4E,O,HANDS,1
191211,4C,O,OTHER,1
191212,4E,O,HANDS,1
191213,4C,I,OTHER,1
191214,4E,I,HANDS,1
191217,4E,O,HANDS,1
191218,4E,I,HANDS,1
191219,2A,O,OTHER,1
191223,4D,O,HANDS,1
191225,2A,I,OTHER,1
191230,4A,O,FIREARM,1
191233,4B,O,KNIFE,1
191234,4A,O,FIREARM,1
191235,9S,O,FIREARM,1
191238,3AJF,O,FIREARM,1
191240,4B,I,KNIFE,1
191246,3AF,O,FIREARM,1
191251,4E,I,HANDS,1
191266,4B,I,KNIFE,1
191269,4C,O,OTHER,1
191270,4C,O,OTHER,1
191274,3AO,O,OTHER,1
191275,3AF,O,FIREARM,1
191280,4E,O,HANDS,1
191281,4E,O,HANDS,1
191282,4E,O,HANDS,1
191292,4D,I,HANDS,1
191294,4E,,HANDS,1
191296,4E,I,HANDS,1
191299,4E,,HANDS,1
191300,3AF,O,FIREARM,1
191308,4E,I,HANDS,1
191309,4E,I,HANDS,1
191313,4C,O,OTHER,1
191315,2A,I,OTHER,1
191316,4E,I,HANDS,1
191327,4B,I,KNIFE,1
191328,3AF,O,FIREARM,1
191329,3AF,O,FIREARM,1
191330,4C,O,OTHER,1
191331,4E,O,HANDS,1
191332,2A,I,OTHER,1
191338,4E,O,HANDS,1
191340,3AF,O,FIREARM,1
191342,3AF,O,FIREARM,1
191345,3CF,O,FIREARM,1
191347,4E,I,HANDS,1
191348,4E,I,HANDS,1
191349,4D,O,HANDS,1
191350,4E,O,HANDS,1
191351,4C,O,OTHER,1
191352,4B,O,KNIFE,1
191356,4E,O,HANDS,1
191357,4D,O,HANDS,1
191359,4E,I,HANDS,1
191360,4E,O,HANDS,1
191361,4C,I,OTHER,1
191362,4E,I,HANDS,1
191363,4E,I,HANDS,1
191364,4E,O,HANDS,1
191365,3AK,O,KNIFE,1
191366,4E,I,HANDS,1
191367,4E,I,HANDS,1
191368,3AK,O,KNIFE,1
191369,4E,O,HANDS,1
191370,4E,O,HANDS,1
191371,4E,I,HANDS,1
191372,4E,I,HANDS,1
191373,4E,I,HANDS,1
191374,4E,I,HANDS,1
191376,4E,I,HANDS,1
191377,4E,I,HANDS,1
191378,4E,O,HANDS,1
191379,4E,O,HANDS,1
191381,4B,O,KNIFE,1
191384,4E,I,HANDS,1
191385,4C,I,OTHER,1
191387,2A,I,OTHER,1
191393,4C,I,OTHER,1
191396,4B,I,KNIFE,1
191399,4B,I,KNIFE,1
191406,3AO,,OTHER,1
191407,4E,O,HANDS,1
191408,4E,O,HANDS,1
191409,4E,I,HANDS,1
191415,3AF,O,FIREARM,1
191420,4E,I,HANDS,1
191423,4E,O,HANDS,1
191427,4C,,OTHER,1
191434,4E,O,HANDS,1
191435,3AF,O,FIREARM,1
191439,4E,I,HANDS,1
191440,4B,O,KNIFE,1
191441,4E,O,HANDS,1
191444,4E,I,HANDS,1
191446,4E,O,HANDS,1
191447,4E,O,HANDS,1
191449,4E,I,HANDS,1
191450,3AF,O,FIREARM,1
191453,3JF,I,FIREARM,1
191457,4C,O,OTHER,1
191463,3AF,O,FIREARM,1
191467,4E,I,HANDS,1
191468,4E,I,HANDS,1
191471,3AF,O,FIREARM,1
191475,4B,I,KNIFE,1
191480,4C,O,OTHER,1
191481,4C,I,OTHER,1
191485,4E,I,HANDS,1
191491,4E,O,HANDS,1
191494,4E,,HANDS,1
